symbol,name,exchange,sector,industry,marketCap,country
099320.KQ,SI,KOE,,,1727016599552.0,US
ADBE.MX,ADOBE INC,MEX,,,1726742396928.0,US
1YDD.XC,Broadcom Inc,CXE,,,1726023204864.0,US
KETR.JK,Ketrosden Triasmitra Tbk.,JKT,,,1704757690368.0,US
NOWW.MX,SERVICENOW INC,MEX,,,1703524958208.0,US
SNPS.MX,SYNOPSYS INC,MEX,,,1685554331648.0,US
CDNS.MX,CADENCE DESIGN SYSTEMS INC,MEX,,,1668686807040.0,US
189300.KQ,Intellian Tech,KOE,,,1655681974272.0,US
2383.TW,ELITE MATERIAL CO,TAI,,,1653651406848.0,US
NOKIA.PR,NOKIA OYJ,PRA,,,1630937284608.0,US
P2LT34.SA,PALANTIRTECHDRN,SAO,,,1625996656640.0,US
101490.KQ,S&S TECH,KOE,,,1624709136384.0,US
PTSN.JK,Sat Nusapersada Tbk,JKT,,,1615560572928.0,US
6963.T,ROHM CO LTD,JPX,,,1613626605568.0,US
6479.T,MINEBEA MITSUMI INC,JPX,,,1583892791296.0,US
183300.KQ,KoMiCo,KOE,,,1574210109440.0,US
090710.KQ,Hyulim ROBOT,KOE,,,1566664949760.0,US
FTNT.MX,FORTINET INC,MEX,,,1556877803520.0,US
6525.T,KOKUSAI ELECTRIC CORPORATION,JPX,,,1539525836800.0,US
420770.KQ,GigaVis,KOE,,,1518555758592.0,US
232140.KQ,YCC,KOE,,,1507794485248.0,US
195870.KS,HAESUNG DS,KSC,,,1489199955968.0,US
NICE.TA,NICE LTD,TLV,,,14675035136.0,US
036540.KQ,SFASemicon,KOE,,,1411738632192.0,US
TEXA34.SA,TEXAS INC   DRN ED,SAO,,,1411553951744.0,US
281820.KS,KCTECH,KSC,,,1406653431808.0,US
2345.TW,ACCTON TECHNOLOGY CORP,TAI,,,1400064573440.0,US
031330.KQ,SAMT,KOE,,,1394894438400.0,US
2303.TW,UNITED MICRO ELECTRONICS,TAI,,,1381625626624.0,US
CIEN.MX,CIENA CORP,MEX,,,1371564802048.0,US
166090.KQ,Hana Materials,KOE,,,1365693169664.0,US
NOKN.MX,NOKIA OYJ,MEX,,,1357002440704.0,US
MPWR.MX,MONOLITHIC POWER SYSTEM INC,MEX,,,1345670742016.0,US
601138.SS,FOXCONN INDUSTRIAL INTERNET CO ,SHH,,,1341857595392.0,US
LITE.MX,LUMENTUM HLDGS INC,MEX,,,1315100819456.0,US
COHR.MX,COHERENT CORP,MEX,,,1310587879424.0,US
089970.KQ,VM,KOE,,,1305981353984.0,US
3037.TW,UNIMICRON TECHNOLOGY,TAI,,,1292680298496.0,US
DDOG.MX,DATADOG INC,MEX,,,1290355736576.0,US
4186.T,TOKYO OHKA KOGYO CO,JPX,,,1290129506304.0,US
NXPIN.MX,NXP SEMICONDUCTORS N V,MEX,,,1282333343744.0,US
032500.KQ,KMW,KOE,,,1265505927168.0,US
7769.TW,HON PRECISION INC,TAI,,,1240617320448.0,US
PAGS.BA,PAGSEGURO DIGITAL LTD CEDEAR EA,BUE,,,1227089903616.0,US
NET.MX,CLOUDFLARE INC,MEX,,,1219104997376.0,US
ATIC.JK,Anabatic Technologies Tbk.,JKT,,,1215564611584.0,US
SMSNL.XC,Samsung Electronics Co Ltd,CXE,,,1214727585792.0,US
TECHM.NS,TECH MAHINDRA LIMITED,NSI,,,1213877190656.0,US
BLUE.JK,Berkah Prima Perkasa Tbk.,JKT,,,1212199993344.0,US
K1LA34.SA,KLA CORP    DRN,SAO,,,1202117935104.0,US
BC94.L,SAMSUNG ELECTRONICS CO LTD (ATT,LSE,,,1193538486272.0,US
490470.KQ,SemiFive,KOE,,,1193350397952.0,US
124500.KQ,ITCENGLOBAL,KOE,,,1188071866368.0,US
TECHM.BO,TECH MAHINDRA LTD.,BSE,,,1213366534144.0,US
2382.TW,QUANTA COMPUTER,TAI,,,1179482587136.0,US
LTM.BO,LTM LIMITED,BSE,,,1176713822208.0,US
LTM.NS,LTM LIMITED,NSI,,,1176476712960.0,US
052020.KQ,STCUBE,KOE,,,1174566600704.0,US
300308.SZ,ZHONGJI INNOLIGHT CO LTD,SHZ,,,1169135763456.0,US
388210.KQ,CMTX,KOE,,,1168358637568.0,US
PLTR.WA,PALANTIR,WSE,,,1166292287488.0,US
STNE.BA,STONECO LTD CEDEAR EACH 3 REP 1,BUE,,,1155334012928.0,US
213420.KQ,DUK SAN NEOLUX,KOE,,,1154457010176.0,US
033240.KS,JahwaElec,KSC,,,1152281870336.0,US
466100.KQ,CLOBOT,KOE,,,1122147106816.0,US
6645.T,OMRON CORP,JPX,,,1120787496960.0,US
MSI.MX,MOTOROLA SOLUTIONS INC,MEX,,,1112170430464.0,US
000670.KS,Youngpoong,KSC,,,1112005279744.0,US
4716.T,ORACLE CORP JAPAN,JPX,,,1111216357376.0,US
4768.T,OTSUKA CORPORATION,JPX,,,1100821037056.0,US
SMSDL.XC,Samsung Electronics Co Ltd,CXE,,,1097084436480.0,US
MSTR.MX,STRATEGY INC,MEX,,,1084913745920.0,US
